bioguideId,name,terms,state,party,birthYear,sponsoredLegislation_count,sponsoredLegislation_url,cosponsoredLegislation_count,cosponsoredLegislation_url,years_house,years_senate
S000033,"Sanders, Bernard","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1991}, {'chamber': 'Senate', 'startYear': 2007}]}",Vermont,Independent,1941,1059.0,https://api.congress.gov/v3/member/S000033/sponsored-legislation,7144,https://api.congress.gov/v3/member/S000033/cosponsored-legislation,17,17
R000615,"Romney, Mitt","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",Utah,Republican,1947,105.0,https://api.congress.gov/v3/member/R000615/sponsored-legislation,394,https://api.congress.gov/v3/member/R000615/cosponsored-legislation,0,5
R000608,"Rosen, Jacky","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2019}]}",Nevada,Democratic,1957,224.0,https://api.congress.gov/v3/member/R000608/sponsored-legislation,1854,https://api.congress.gov/v3/member/R000608/cosponsored-legislation,3,5
R000605,"Rounds, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",South Dakota,Republican,1954,249.0,https://api.congress.gov/v3/member/R000605/sponsored-legislation,1372,https://api.congress.gov/v3/member/R000605/cosponsored-legislation,0,9
P000595,"Peters, Gary C.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2015}]}",Michigan,Democratic,1958,564.0,https://api.congress.gov/v3/member/P000595/sponsored-legislation,2896,https://api.congress.gov/v3/member/P000595/cosponsored-legislation,7,9
R000584,"Risch, James E.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",Idaho,Republican,1943,470.0,https://api.congress.gov/v3/member/R000584/sponsored-legislation,2221,https://api.congress.gov/v3/member/R000584/cosponsored-legislation,0,15
R000122,"Reed, Jack","{'item': [{'chamber': 'House of Representatives', 'endYear': 1997, 'startYear': 1991}, {'chamber': 'Senate', 'startYear': 1997}]}",Rhode Island,Democratic,1949,1064.0,https://api.congress.gov/v3/member/R000122/sponsored-legislation,4452,https://api.congress.gov/v3/member/R000122/cosponsored-legislation,7,27
P000603,"Paul, Rand","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",Kentucky,Republican,1963,905.0,https://api.congress.gov/v3/member/P000603/sponsored-legislation,1002,https://api.congress.gov/v3/member/P000603/cosponsored-legislation,0,13
M001169,"Murphy, Christopher","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2013}]}",Connecticut,Democratic,1973,428.0,https://api.congress.gov/v3/member/M001169/sponsored-legislation,2955,https://api.congress.gov/v3/member/M001169/cosponsored-legislation,7,11
M001111,"Murray, Patty","{'item': [{'chamber': 'Senate', 'startYear': 1993}]}",Washington,Democratic,1950,1055.0,https://api.congress.gov/v3/member/M001111/sponsored-legislation,5912,https://api.congress.gov/v3/member/M001111/cosponsored-legislation,0,31
