Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 1833,https://www.congress.gov/bill/116th-congress/senate-bill/1833,116th Congress (2019-2020),"Braun, Mike [Sen.-R-IN]",3,"Durbin, Richard J. [Sen.-D-IL]","Duckworth, Tammy [Sen.-D-IL]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1822,https://www.congress.gov/bill/116th-congress/senate-bill/1822,116th Congress (2019-2020),"Wicker, Roger F. [Sen.-R-MS]",69,"Hawley, Josh [Sen.-R-MO]","Thune, John [Sen.-R-SD]","Klobuchar, Amy [Sen.-D-MN]","Peters, Gary C. [Sen.-D-MI]","Moran, Jerry [Sen.-R-KS]","Capito, Shelley Moore [Sen.-R-WV]","Gardner, Cory [Sen.-R-CO]","Baldwin, Tammy [Sen.-D-WI]","Rosen, Jacky [Sen.-D-NV]","Schatz, Brian [Sen.-D-HI]","Young, Todd [Sen.-R-IN]","Sinema, Kyrsten [Sen.-D-AZ]","Tester, Jon [Sen.-D-MT]","Udall, Tom [Sen.-D-NM]","Fischer, Deb [Sen.-R-NE]","Markey, Edward J. [Sen.-D-MA]","Duckworth, Tammy [Sen.-D-IL]","Blackburn, Marsha [Sen.-R-TN]","Barrasso, John [Sen.-R-WY]","Blumenthal, Richard [Sen.-D-CT]","King, Angus S., Jr. [Sen.-I-ME]","Hyde-Smith, Cindy [Sen.-R-MS]","Cramer, Kevin [Sen.-R-ND]","Collins, Susan M. [Sen.-R-ME]","Durbin, Richard J. [Sen.-D-IL]","Crapo, Mike [Sen.-R-ID]","Burr, Richard [Sen.-R-NC]","Risch, James E. [Sen.-R-ID]","Boozman, John [Sen.-R-AR]","Hoeven, John [Sen.-R-ND]","Cotton, Tom [Sen.-R-AR]","Tillis, Thomas [Sen.-R-NC]","Hassan, Margaret Wood [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","McSally, Martha [Sen.-R-AZ]","Murray, Patty [Sen.-D-WA]","Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]","Sanders, Bernard [Sen.-I-VT]","Perdue, David [Sen.-R-GA]","Cornyn, John [Sen.-R-TX]","Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Lankford, James [Sen.-R-OK]","Harris, Kamala D. [Sen.-D-CA]","Casey, Robert P., Jr. [Sen.-D-PA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Jones, Doug [Sen.-D-AL]","Braun, Mike [Sen.-R-IN]","Graham, Lindsey [Sen.-R-SC]","Leahy, Patrick J. [Sen.-D-VT]","Coons, Christopher A. [Sen.-D-DE]","Hirono, Mazie K. [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Ernst, Joni [Sen.-R-IA]","Blunt, Roy [Sen.-R-MO]","Rubio, Marco [Sen.-R-FL]","Stabenow, Debbie [Sen.-D-MI]","Scott, Rick [Sen.-R-FL]","Manchin, Joe, III [Sen.-D-WV]","Johnson, Ron [Sen.-R-WI]","Scott, Tim [Sen.-R-SC]","Schumer, Charles E. [Sen.-D-NY]","Enzi, Michael B. [Sen.-R-WY]","Grassley, Chuck [Sen.-R-IA]","Inhofe, James M. [Sen.-R-OK]","Sullivan, Dan [Sen.-R-AK]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1811,https://www.congress.gov/bill/116th-congress/senate-bill/1811,116th Congress (2019-2020),"Barrasso, John [Sen.-R-WY]",1,"Carper, Thomas R. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1790,https://www.congress.gov/bill/116th-congress/senate-bill/1790,116th Congress (2019-2020),"Inhofe, James M. [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1782,https://www.congress.gov/bill/116th-congress/senate-bill/1782,116th Congress (2019-2020),"Kennedy, John [Sen.-R-LA]",5,"Rosen, Jacky [Sen.-D-NV]","Jones, Doug [Sen.-D-AL]","Cornyn, John [Sen.-R-TX]","Warren, Elizabeth [Sen.-D-MA]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1759,https://www.congress.gov/bill/116th-congress/senate-bill/1759,116th Congress (2019-2020),"Braun, Mike [Sen.-R-IN]",1,"Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1757,https://www.congress.gov/bill/116th-congress/senate-bill/1757,116th Congress (2019-2020),"Ernst, Joni [Sen.-R-IA]",70,"Toomey, Patrick [Sen.-R-PA]","Duckworth, Tammy [Sen.-D-IL]","Peters, Gary C. [Sen.-D-MI]","Kennedy, John [Sen.-R-LA]","Blumenthal, Richard [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Blunt, Roy [Sen.-R-MO]","Moran, Jerry [Sen.-R-KS]","Hyde-Smith, Cindy [Sen.-R-MS]","Collins, Susan M. [Sen.-R-ME]","Isakson, Johnny [Sen.-R-GA]","Shaheen, Jeanne [Sen.-D-NH]","Gillibrand, Kirsten E. [Sen.-D-NY]","Boozman, John [Sen.-R-AR]","Murphy, Christopher [Sen.-D-CT]","Van Hollen, Chris [Sen.-D-MD]","Cardin, Benjamin L. [Sen.-D-MD]","Risch, James E. [Sen.-R-ID]","Tillis, Thomas [Sen.-R-NC]","Hawley, Josh [Sen.-R-MO]","Cornyn, John [Sen.-R-TX]","Hassan, Margaret Wood [Sen.-D-NH]","Cramer, Kevin [Sen.-R-ND]","Sinema, Kyrsten [Sen.-D-AZ]","Baldwin, Tammy [Sen.-D-WI]","Cotton, Tom [Sen.-R-AR]","Tester, Jon [Sen.-D-MT]","Hoeven, John [Sen.-R-ND]","Blackburn, Marsha [Sen.-R-TN]","Murkowski, Lisa [Sen.-R-AK]","Feinstein, Dianne [Sen.-D-CA]","Coons, Christopher A. [Sen.-D-DE]","Scott, Tim [Sen.-R-SC]","Capito, Shelley Moore [Sen.-R-WV]","Burr, Richard [Sen.-R-NC]","Rosen, Jacky [Sen.-D-NV]","Murray, Patty [Sen.-D-WA]","Booker, Cory A. [Sen.-D-NJ]","Scott, Rick [Sen.-R-FL]","Roberts, Pat [Sen.-R-KS]","Cantwell, Maria [Sen.-D-WA]","Barrasso, John [Sen.-R-WY]","King, Angus S., Jr. [Sen.-I-ME]","Klobuchar, Amy [Sen.-D-MN]","Markey, Edward J. [Sen.-D-MA]","Reed, Jack [Sen.-D-RI]","Daines, Steve [Sen.-R-MT]","Alexander, Lamar [Sen.-R-TN]","Young, Todd [Sen.-R-IN]","Menendez, Robert [Sen.-D-NJ]","Fischer, Deb [Sen.-R-NE]","Sullivan, Dan [Sen.-R-AK]","McSally, Martha [Sen.-R-AZ]","Stabenow, Debbie [Sen.-D-MI]","Hirono, Mazie K. [Sen.-D-HI]","Casey, Robert P., Jr. [Sen.-D-PA]","Perdue, David [Sen.-R-GA]","Cruz, Ted [Sen.-R-TX]","Lankford, James [Sen.-R-OK]","Manchin, Joe, III [Sen.-D-WV]","Inhofe, James M. [Sen.-R-OK]","Grassley, Chuck [Sen.-R-IA]","Cortez Masto, Catherine [Sen.-D-NV]","Udall, Tom [Sen.-D-NM]","Loeffler, Kelly [Sen.-R-GA]","Rubio, Marco [Sen.-R-FL]","Heinrich, Martin [Sen.-D-NM]","Jones, Doug [Sen.-D-AL]","Rounds, Mike [Sen.-R-SD]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1749,https://www.congress.gov/bill/116th-congress/senate-bill/1749,116th Congress (2019-2020),"Sinema, Kyrsten [Sen.-D-AZ]",1,"Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1694,https://www.congress.gov/bill/116th-congress/senate-bill/1694,116th Congress (2019-2020),"Peters, Gary C. [Sen.-D-MI]",5,"Brown, Sherrod [Sen.-D-OH]","Blumenthal, Richard [Sen.-D-CT]","Markey, Edward J. [Sen.-D-MA]","Capito, Shelley Moore [Sen.-R-WV]","Cruz, Ted [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1693,https://www.congress.gov/bill/116th-congress/senate-bill/1693,116th Congress (2019-2020),"Kennedy, John [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1689,https://www.congress.gov/bill/116th-congress/senate-bill/1689,116th Congress (2019-2020),"Booker, Cory A. [Sen.-D-NJ]",1,"Menendez, Robert [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1681,https://www.congress.gov/bill/116th-congress/senate-bill/1681,116th Congress (2019-2020),"Enzi, Michael B. [Sen.-R-WY]",1,"Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1678,https://www.congress.gov/bill/116th-congress/senate-bill/1678,116th Congress (2019-2020),"Gardner, Cory [Sen.-R-CO]",7,"Inhofe, James M. [Sen.-R-OK]","Cornyn, John [Sen.-R-TX]","Coons, Christopher A. [Sen.-D-DE]","Rubio, Marco [Sen.-R-FL]","Menendez, Robert [Sen.-D-NJ]","Cruz, Ted [Sen.-R-TX]","Romney, Mitt [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1646,https://www.congress.gov/bill/116th-congress/senate-bill/1646,116th Congress (2019-2020),"Rubio, Marco [Sen.-R-FL]",1,"Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1636,https://www.congress.gov/bill/116th-congress/senate-bill/1636,116th Congress (2019-2020),"Roberts, Pat [Sen.-R-KS]",2,"Cassidy, Bill [Sen.-R-LA]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1611,https://www.congress.gov/bill/116th-congress/senate-bill/1611,116th Congress (2019-2020),"Fischer, Deb [Sen.-R-NE]",3,"Schatz, Brian [Sen.-D-HI]","Booker, Cory A. [Sen.-D-NJ]","Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1608,https://www.congress.gov/bill/116th-congress/senate-bill/1608,116th Congress (2019-2020),"Wicker, Roger F. [Sen.-R-MS]",5,"Murray, Patty [Sen.-D-WA]","Brown, Sherrod [Sen.-D-OH]","Capito, Shelley Moore [Sen.-R-WV]","Sinema, Kyrsten [Sen.-D-AZ]","Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1590,https://www.congress.gov/bill/116th-congress/senate-bill/1590,116th Congress (2019-2020),"Merkley, Jeff [Sen.-D-OR]",39,"Schumer, Charles E. [Sen.-D-NY]","Stabenow, Debbie [Sen.-D-MI]","Hassan, Margaret Wood [Sen.-D-NH]","Collins, Susan M. [Sen.-R-ME]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Duckworth, Tammy [Sen.-D-IL]","Whitehouse, Sheldon [Sen.-D-RI]","Sinema, Kyrsten [Sen.-D-AZ]","McSally, Martha [Sen.-R-AZ]","Van Hollen, Chris [Sen.-D-MD]","Cardin, Benjamin L. [Sen.-D-MD]","Shaheen, Jeanne [Sen.-D-NH]","Scott, Rick [Sen.-R-FL]","Carper, Thomas R. [Sen.-D-DE]","Udall, Tom [Sen.-D-NM]","Cantwell, Maria [Sen.-D-WA]","Rubio, Marco [Sen.-R-FL]","Cortez Masto, Catherine [Sen.-D-NV]","Murphy, Christopher [Sen.-D-CT]","Rosen, Jacky [Sen.-D-NV]","Sanders, Bernard [Sen.-I-VT]","Warner, Mark R. [Sen.-D-VA]","Harris, Kamala D. [Sen.-D-CA]","Peters, Gary C. [Sen.-D-MI]","Casey, Robert P., Jr. [Sen.-D-PA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Gillibrand, Kirsten E. [Sen.-D-NY]","Murray, Patty [Sen.-D-WA]","Reed, Jack [Sen.-D-RI]","Durbin, Richard J. [Sen.-D-IL]","Baldwin, Tammy [Sen.-D-WI]","Heinrich, Martin [Sen.-D-NM]","Warren, Elizabeth [Sen.-D-MA]","Klobuchar, Amy [Sen.-D-MN]","Bennet, Michael F. [Sen.-D-CO]","Schatz, Brian [Sen.-D-HI]","Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1436,https://www.congress.gov/bill/116th-congress/senate-bill/1436,116th Congress (2019-2020),"Brown, Sherrod [Sen.-D-OH]",2,"Klobuchar, Amy [Sen.-D-MN]","Blunt, Roy [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1434,https://www.congress.gov/bill/116th-congress/senate-bill/1434,116th Congress (2019-2020),"Portman, Rob [Sen.-R-OH]",1,"Hirono, Mazie K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1430,https://www.congress.gov/bill/116th-congress/senate-bill/1430,116th Congress (2019-2020),"Lankford, James [Sen.-R-OK]",2,"Peters, Gary C. [Sen.-D-MI]","Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1388,https://www.congress.gov/bill/116th-congress/senate-bill/1388,116th Congress (2019-2020),"Peters, Gary C. [Sen.-D-MI]",2,"Hassan, Margaret Wood [Sen.-D-NH]","Johnson, Ron [Sen.-R-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1387,https://www.congress.gov/bill/116th-congress/senate-bill/1387,116th Congress (2019-2020),"Braun, Mike [Sen.-R-IN]",1,"Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1380,https://www.congress.gov/bill/116th-congress/senate-bill/1380,116th Congress (2019-2020),"Sullivan, Dan [Sen.-R-AK]",6,"Booker, Cory A. [Sen.-D-NJ]","Cornyn, John [Sen.-R-TX]","Whitehouse, Sheldon [Sen.-D-RI]","Paul, Rand [Sen.-R-KY]","Durbin, Richard J. [Sen.-D-IL]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1379,https://www.congress.gov/bill/116th-congress/senate-bill/1379,116th Congress (2019-2020),"Burr, Richard [Sen.-R-NC]",3,"Murray, Patty [Sen.-D-WA]","Alexander, Lamar [Sen.-R-TN]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1370,https://www.congress.gov/bill/116th-congress/senate-bill/1370,116th Congress (2019-2020),"Cassidy, Bill [Sen.-R-LA]",48,"Coons, Christopher A. [Sen.-D-DE]","Cruz, Ted [Sen.-R-TX]","Grassley, Chuck [Sen.-R-IA]","Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Roberts, Pat [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Burr, Richard [Sen.-R-NC]","Isakson, Johnny [Sen.-R-GA]","Menendez, Robert [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]","Klobuchar, Amy [Sen.-D-MN]","Tester, Jon [Sen.-D-MT]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Blumenthal, Richard [Sen.-D-CT]","Hoeven, John [Sen.-R-ND]","Johnson, Ron [Sen.-R-WI]","Toomey, Patrick [Sen.-R-PA]","Baldwin, Tammy [Sen.-D-WI]","King, Angus S., Jr. [Sen.-I-ME]","Scott, Tim [Sen.-R-SC]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Peters, Gary C. [Sen.-D-MI]","Cortez Masto, Catherine [Sen.-D-NV]","Hassan, Margaret Wood [Sen.-D-NH]","Sinema, Kyrsten [Sen.-D-AZ]","Carper, Thomas R. [Sen.-D-DE]","Shaheen, Jeanne [Sen.-D-NH]","Collins, Susan M. [Sen.-R-ME]","Tillis, Thomas [Sen.-R-NC]","Young, Todd [Sen.-R-IN]","Boozman, John [Sen.-R-AR]","Fischer, Deb [Sen.-R-NE]","Gardner, Cory [Sen.-R-CO]","Kennedy, John [Sen.-R-LA]","McSally, Martha [Sen.-R-AZ]","Wicker, Roger F. [Sen.-R-MS]","Cantwell, Maria [Sen.-D-WA]","Kaine, Tim [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Thune, John [Sen.-R-SD]","Ernst, Joni [Sen.-R-IA]","Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1342,https://www.congress.gov/bill/116th-congress/senate-bill/1342,116th Congress (2019-2020),"Peters, Gary C. [Sen.-D-MI]",2,"Portman, Rob [Sen.-R-OH]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1340,https://www.congress.gov/bill/116th-congress/senate-bill/1340,116th Congress (2019-2020),"Menendez, Robert [Sen.-D-NJ]",5,"Inhofe, James M. [Sen.-R-OK]","Coons, Christopher A. [Sen.-D-DE]","Rubio, Marco [Sen.-R-FL]","Isakson, Johnny [Sen.-R-GA]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1328,https://www.congress.gov/bill/116th-congress/senate-bill/1328,116th Congress (2019-2020),"Durbin, Richard J. [Sen.-D-IL]",4,"Leahy, Patrick J. [Sen.-D-VT]","Grassley, Chuck [Sen.-R-IA]","Graham, Lindsey [Sen.-R-SC]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1321,https://www.congress.gov/bill/116th-congress/senate-bill/1321,116th Congress (2019-2020),"Blumenthal, Richard [Sen.-D-CT]",2,"Graham, Lindsey [Sen.-R-SC]","Whitehouse, Sheldon [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1310,https://www.congress.gov/bill/116th-congress/senate-bill/1310,116th Congress (2019-2020),"Cardin, Benjamin L. [Sen.-D-MD]",2,"Wicker, Roger F. [Sen.-R-MS]","Kaine, Tim [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1309,https://www.congress.gov/bill/116th-congress/senate-bill/1309,116th Congress (2019-2020),"Cardin, Benjamin L. [Sen.-D-MD]",9,"Wyden, Ron [Sen.-D-OR]","Leahy, Patrick J. [Sen.-D-VT]","Merkley, Jeff [Sen.-D-OR]","Blumenthal, Richard [Sen.-D-CT]","Rubio, Marco [Sen.-R-FL]","Young, Todd [Sen.-R-IN]","Coons, Christopher A. [Sen.-D-DE]","Durbin, Richard J. [Sen.-D-IL]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1289,https://www.congress.gov/bill/116th-congress/senate-bill/1289,116th Congress (2019-2020),"Klobuchar, Amy [Sen.-D-MN]",5,"Boozman, John [Sen.-R-AR]","King, Angus S., Jr. [Sen.-I-ME]","Capito, Shelley Moore [Sen.-R-WV]","Sullivan, Dan [Sen.-R-AK]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1275,https://www.congress.gov/bill/116th-congress/senate-bill/1275,116th Congress (2019-2020),"Hassan, Margaret Wood [Sen.-D-NH]",1,"Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1272,https://www.congress.gov/bill/116th-congress/senate-bill/1272,116th Congress (2019-2020),"Reed, Jack [Sen.-D-RI]",1,"Whitehouse, Sheldon [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1253,https://www.congress.gov/bill/116th-congress/senate-bill/1253,116th Congress (2019-2020),"Feinstein, Dianne [Sen.-D-CA]",27,"Blunt, Roy [Sen.-R-MO]","Durbin, Richard J. [Sen.-D-IL]","Cornyn, John [Sen.-R-TX]","Klobuchar, Amy [Sen.-D-MN]","Blumenthal, Richard [Sen.-D-CT]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]","Collins, Susan M. [Sen.-R-ME]","Perdue, David [Sen.-R-GA]","Boozman, John [Sen.-R-AR]","Enzi, Michael B. [Sen.-R-WY]","Grassley, Chuck [Sen.-R-IA]","Hirono, Mazie K. [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]","Leahy, Patrick J. [Sen.-D-VT]","Wicker, Roger F. [Sen.-R-MS]","Murkowski, Lisa [Sen.-R-AK]","Brown, Sherrod [Sen.-D-OH]","Baldwin, Tammy [Sen.-D-WI]","Duckworth, Tammy [Sen.-D-IL]","Ernst, Joni [Sen.-R-IA]","Cramer, Kevin [Sen.-R-ND]","Reed, Jack [Sen.-D-RI]","McSally, Martha [Sen.-R-AZ]","Roberts, Pat [Sen.-R-KS]","Hyde-Smith, Cindy [Sen.-R-MS]","Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
