Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 4460,https://www.congress.gov/bill/116th-congress/senate-bill/4460,116th Congress (2019-2020),"Collins, Susan M. [Sen.-R-ME]",2,"King, Angus S., Jr. [Sen.-I-ME]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4409,https://www.congress.gov/bill/116th-congress/senate-bill/4409,116th Congress (2019-2020),"Durbin, Richard J. [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4403,https://www.congress.gov/bill/116th-congress/senate-bill/4403,116th Congress (2019-2020),"Kennedy, John [Sen.-R-LA]",1,"Feinstein, Dianne [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4346,https://www.congress.gov/bill/116th-congress/senate-bill/4346,116th Congress (2019-2020),"Graham, Lindsey [Sen.-R-SC]",3,"Feinstein, Dianne [Sen.-D-CA]","Klobuchar, Amy [Sen.-D-MN]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4222,https://www.congress.gov/bill/116th-congress/senate-bill/4222,116th Congress (2019-2020),"Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4209,https://www.congress.gov/bill/116th-congress/senate-bill/4209,116th Congress (2019-2020),"Scott, Tim [Sen.-R-SC]",26,"Smith, Tina [Sen.-D-MN]","Hyde-Smith, Cindy [Sen.-R-MS]","Blumenthal, Richard [Sen.-D-CT]","Durbin, Richard J. [Sen.-D-IL]","Warner, Mark R. [Sen.-D-VA]","Reed, Jack [Sen.-D-RI]","Klobuchar, Amy [Sen.-D-MN]","Graham, Lindsey [Sen.-R-SC]","Cramer, Kevin [Sen.-R-ND]","King, Angus S., Jr. [Sen.-I-ME]","Daines, Steve [Sen.-R-MT]","Whitehouse, Sheldon [Sen.-D-RI]","Ernst, Joni [Sen.-R-IA]","Cardin, Benjamin L. [Sen.-D-MD]","Loeffler, Kelly [Sen.-R-GA]","Hassan, Margaret Wood [Sen.-D-NH]","Perdue, David [Sen.-R-GA]","Casey, Robert P., Jr. [Sen.-D-PA]","Lankford, James [Sen.-R-OK]","Carper, Thomas R. [Sen.-D-DE]","Cornyn, John [Sen.-R-TX]","Wyden, Ron [Sen.-D-OR]","Booker, Cory A. [Sen.-D-NJ]","Grassley, Chuck [Sen.-R-IA]","Brown, Sherrod [Sen.-D-OH]","Romney, Mitt [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4148,https://www.congress.gov/bill/116th-congress/senate-bill/4148,116th Congress (2019-2020),"Johnson, Ron [Sen.-R-WI]",5,"Capito, Shelley Moore [Sen.-R-WV]","Lankford, James [Sen.-R-OK]","Carper, Thomas R. [Sen.-D-DE]","Inhofe, James M. [Sen.-R-OK]","Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4138,https://www.congress.gov/bill/116th-congress/senate-bill/4138,116th Congress (2019-2020),"Lankford, James [Sen.-R-OK]",3,"Hirono, Mazie K. [Sen.-D-HI]","Sinema, Kyrsten [Sen.-D-AZ]","Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4126,https://www.congress.gov/bill/116th-congress/senate-bill/4126,116th Congress (2019-2020),"Johnson, Ron [Sen.-R-WI]",1,"Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4116,https://www.congress.gov/bill/116th-congress/senate-bill/4116,116th Congress (2019-2020),"Cardin, Benjamin L. [Sen.-D-MD]",5,"Schumer, Charles E. [Sen.-D-NY]","Collins, Susan M. [Sen.-R-ME]","Rosen, Jacky [Sen.-D-NV]","Coons, Christopher A. [Sen.-D-DE]","Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
